Product Category,Product Name,Units Sold,Returns,Revenue,Customer Rating,Stock Level,Season,Trend Score
Shoes,Levi's Blue Shoes S,230,29,21373.21,3.9,106,Winter,83.48
Jeans,Adidas Red Jeans S,199,3,5559.87,3.2,91,Spring,96.64
Outerwear,H&M Yellow Outerwear XL,234,28,29304.09,4.4,158,Winter,38.5
Accessories,Nike Pink Accessories S,467,2,27243.14,3.6,692,Summer,57.72
Accessories,Prada Red Accessories XL,256,51,41845.47,3.3,956,Summer,26.36
Jeans,Levi's Black Jeans S,382,70,40812.87,4.7,531,Autumn,121.79
Tops,Gucci Green Tops L,239,24,22043.88,4.6,673,Summer,50.33
Shoes,Zara Black Shoes XL,489,56,91698.43,5,652,Summer,76.15
Activewear,Adidas Yellow Activewear M,197,38,34317.87,4.7,712,Spring,29.88
Tops,Prada Green Tops L,496,53,68991.78,3.9,406,Summer,46.28
Tops,Uniqlo Blue Tops XS,253,16,10537.06,4.5,25,Spring,194.26
Shoes,Gucci Blue Shoes XS,102,15,16624.73,4.6,980,Spring,9.08
Accessories,Zara Yellow Accessories S,13,0,2446.66,3.9,111,Summer,3.09
Accessories,Adidas Green Accessories L,226,28,24835.33,4.4,759,Spring,390.67
Accessories,Gucci White Accessories L,423,66,61385.41,4.3,968,Spring,142.53
Accessories,Adidas Black Accessories XL,21,4,2064.2,4,813,Autumn,1.64
Tops,Prada Grey Tops S,207,37,23738.25,4,728,Autumn,20.51
Jeans,H&M Black Jeans L,488,3,66796.2,4.5,677,Spring,78.28
Dresses,Zara White Dresses XS,396,0,12325.68,3.8,712,Winter,37.4
Accessories,Zara White Accessories S,414,57,62460.67,4.8,139,Spring,72.21
Tops,Prada Grey Tops XS,21,3,233.73,4.9,945,Spring,3.46
Outerwear,Adidas Pink Outerwear XS,35,0,6691.42,4.2,325,Autumn,2.95
Shoes,Zara White Shoes XS,152,21,13511.81,4.3,923,Summer,50.07
Jeans,Zara White Jeans M,230,37,41932.62,3.5,164,Winter,14.63
Tops,Prada Green Tops S,354,70,38839.72,3.8,508,Autumn,47.56
Outerwear,H&M White Outerwear L,491,58,80065.8,3.1,608,Summer,67.15
Jeans,H&M White Jeans M,157,24,15221.65,4,176,Summer,19.65
Dresses,Nike Grey Dresses L,19,0,3631.28,3.3,894,Summer,10.61
Accessories,Levi's Pink Accessories L,455,79,47272.39,3.9,656,Winter,29.59
Jeans,Adidas White Jeans XL,230,19,34856.4,3.5,792,Winter,271.51
Dresses,Levi's Blue Dresses XL,321,25,19070,3,983,Spring,45.17
Shoes,Zara Green Shoes M,134,6,21403.61,4,310,Summer,118.79
Outerwear,Zara Black Outerwear L,362,42,36440.8,4.7,608,Autumn,36.5
Shoes,Uniqlo Yellow Shoes XS,461,22,25965.71,3.2,51,Summer,27.73
Shoes,Adidas Red Shoes M,122,24,9279.38,3.6,678,Autumn,10.82
Jeans,Gucci Pink Jeans L,169,3,9077.53,3.7,69,Spring,15.24
Accessories,Zara Green Accessories M,406,0,35890.7,4.1,514,Spring,40.66
Shoes,Uniqlo Pink Shoes L,243,0,12366.33,3.8,264,Autumn,28.59
Jeans,Zara Blue Jeans L,61,0,8564.14,3.7,16,Autumn,19.73
Jeans,Prada Yellow Jeans S,473,46,48373.13,3.4,164,Spring,41.61
Accessories,H&M Red Accessories M,469,29,62505.07,4.4,704,Spring,57.65
Tops,Uniqlo Pink Tops XL,481,79,6514.89,4.4,683,Autumn,39.14
Activewear,Nike Blue Activewear XS,478,80,69841.94,4.5,134,Autumn,70.6
Shoes,Uniqlo Pink Shoes M,135,22,25507.76,3.8,634,Winter,11.49
Jeans,Adidas Black Jeans XS,67,5,4300.63,4.7,617,Autumn,14.59
Tops,Uniqlo Yellow Tops L,263,37,47203.5,4.7,636,Summer,22.04
Jeans,Zara Blue Jeans S,219,26,26643.81,4.9,172,Winter,19.34
Jeans,H&M Green Jeans S,298,17,17267.45,3.7,265,Autumn,25.2
Jeans,Uniqlo Red Jeans XL,220,0,42422.5,3.7,0,Summer,19.9
Shoes,Levi's Blue Shoes XL,59,7,4922.5,4.6,892,Spring,6.1
Tops,Zara Red Tops XS,280,53,13590.41,5,286,Autumn,44.77
Activewear,Uniqlo Red Activewear XL,150,23,17032.56,4.9,965,Spring,33.08
Jeans,Adidas Green Jeans XL,81,11,11545.84,4.1,845,Autumn,7.86
Dresses,Prada Yellow Dresses XS,28,5,5440.68,4.8,653,Spring,2.84
Dresses,Prada Black Dresses M,64,0,4649,4.4,587,Spring,11.45
Dresses,Uniqlo Red Dresses XL,303,59,3382.62,4.3,421,Autumn,94.18
Dresses,Uniqlo Grey Dresses XS,472,69,84443.31,3.2,184,Winter,29.76
Jeans,Levi's Black Jeans XS,174,34,13942.33,4.1,685,Spring,18.22
Shoes,Uniqlo Red Shoes S,131,7,4683.14,4,125,Summer,14.89
Outerwear,Zara Black Outerwear XL,255,49,41698.14,3.9,834,Spring,34.23
Outerwear,H&M Blue Outerwear XS,236,37,20374.14,3.1,492,Summer,16.67
Dresses,Gucci Black Dresses M,405,74,21771.54,4.2,743,Spring,43.39
Shoes,Gucci Grey Shoes M,55,0,10526.89,3.4,141,Winter,4.62
Tops,Prada Blue Tops XL,363,64,41466.33,3.1,212,Winter,43.41
Jeans,Uniqlo Blue Jeans L,210,0,8459.52,4.8,409,Spring,24.78
Outerwear,H&M Grey Outerwear M,217,43,18044.76,3.1,604,Spring,13.04
Activewear,Prada Grey Activewear M,452,9,8251.53,3,890,Autumn,455.14
Tops,Uniqlo Red Tops L,166,29,17307.59,4.4,86,Summer,15.71
Outerwear,Levi's Blue Outerwear XS,284,2,17247.38,4.9,362,Autumn,35.15
Activewear,Levi's Black Activewear S,343,35,8613.59,4.6,418,Winter,38.62
Jeans,Adidas Green Jeans M,369,57,22506.72,4.9,27,Spring,84.23
Tops,Adidas Red Tops M,60,11,4331.41,3.9,637,Winter,5.08
Outerwear,Zara Blue Outerwear XL,306,1,61133.59,4.2,841,Summer,45.04
Jeans,H&M Red Jeans XS,414,44,20036.38,4.8,552,Winter,116.08
Dresses,Zara Yellow Dresses XS,330,25,25734.87,4.5,829,Winter,39.69
Tops,Zara Pink Tops S,340,47,40815.95,3.9,923,Summer,41.57
Dresses,H&M Green Dresses XS,176,8,5979.76,4.1,184,Autumn,19.49
Shoes,Prada Yellow Shoes S,446,70,37818.35,3.1,738,Summer,23.91
Outerwear,Levi's Pink Outerwear M,135,10,10887.88,4,329,Winter,26.9
Dresses,Uniqlo Grey Dresses S,222,7,5093.35,4.6,393,Spring,70.59
Outerwear,Levi's Black Outerwear L,291,4,39440.65,3.7,400,Autumn,44.92
Accessories,Prada Blue Accessories XL,23,1,1613.1,4.6,52,Spring,3.31
Outerwear,Adidas Pink Outerwear S,228,18,43257.5,4.7,202,Autumn,29.63
Accessories,Zara Pink Accessories L,363,68,59286.51,3.7,959,Autumn,41.92
Tops,Prada Red Tops L,425,43,62129.33,4.1,526,Spring,33.98
Accessories,H&M Black Accessories S,425,10,71178.46,5,423,Spring,44.21
Outerwear,Levi's Pink Outerwear S,215,7,37880.36,3.3,207,Autumn,25.14
Shoes,Prada Yellow Shoes XL,455,27,35539.8,3.7,822,Summer,37.87
Shoes,Zara White Shoes XS,21,2,2226.23,3.8,641,Summer,1.52
Jeans,Prada Blue Jeans XL,34,6,5364.2,3.2,111,Summer,14.62
Activewear,H&M Yellow Activewear M,416,43,77653.57,4,111,Autumn,43.64
Shoes,Adidas Red Shoes XL,170,11,19916.83,5,223,Summer,71.82
Outerwear,Adidas Red Outerwear XL,38,1,1929.69,3.8,504,Spring,8
Accessories,Levi's White Accessories M,320,50,12294.49,4.8,752,Summer,353.13
Dresses,Levi's Black Dresses XL,464,2,76864.97,4.4,781,Spring,178.94
Outerwear,Adidas White Outerwear XS,272,6,48580.24,3.9,503,Winter,303.33
Shoes,Zara Grey Shoes S,482,47,66909.3,3.3,153,Winter,40.01
Activewear,Gucci White Activewear XS,251,32,47571.51,4.6,83,Spring,25.78
Tops,Nike Blue Tops S,423,80,52660.23,3,859,Summer,378.31
Tops,Levi's Pink Tops L,379,27,4488.75,4,443,Spring,58.84
Accessories,Gucci Green Accessories XL,149,26,7145.73,4.1,57,Autumn,11.24
Shoes,Zara White Shoes M,385,21,45085.36,3.9,316,Winter,90.48
Shoes,Zara Black Shoes M,231,5,18494.98,5,466,Summer,65.74
Accessories,Uniqlo Yellow Accessories XS,147,9,19370.42,4.1,559,Spring,17.63
Activewear,Uniqlo Black Activewear L,93,15,18358.91,4,275,Winter,30.62
Jeans,Prada White Jeans L,38,6,2952.9,3.5,597,Winter,4.73
Activewear,Nike Grey Activewear M,91,7,11039.48,3.4,674,Winter,24.41
Accessories,Prada Blue Accessories XL,39,5,7469.33,3.3,175,Summer,5.98
Tops,Uniqlo Blue Tops L,405,81,52577.5,4.7,708,Spring,66.01
Dresses,Zara Pink Dresses L,283,21,36800.08,4.6,585,Winter,99.11
Activewear,Adidas Green Activewear M,141,1,10899.11,3.9,625,Autumn,440.32
Accessories,Levi's Black Accessories S,119,15,18091.04,3.9,378,Autumn,46.84
Jeans,Gucci Grey Jeans L,24,1,1529.76,3.7,561,Spring,2.76
Shoes,Uniqlo Yellow Shoes S,485,4,19182.22,3.5,208,Autumn,65.81
Shoes,H&M Blue Shoes XL,141,27,15898.2,4.1,589,Autumn,12.25
Tops,Zara Black Tops S,343,25,49986.71,3,986,Summer,77.88
Outerwear,Adidas Grey Outerwear L,214,31,3588.32,5,722,Spring,18.27
Dresses,Prada White Dresses XL,25,5,2609.42,3.5,165,Spring,2.7
Activewear,Prada Pink Activewear XS,62,8,11377.54,3.5,827,Autumn,5.6
Tops,Levi's Yellow Tops XL,253,43,10743.04,4.2,981,Winter,40.83
Activewear,Nike Blue Activewear S,135,11,16557.27,3.4,673,Winter,24.6
Activewear,Adidas White Activewear XL,180,6,27959.68,3.2,927,Spring,54.06
Jeans,Adidas Green Jeans L,498,34,89588.22,4.7,282,Winter,944.07
Jeans,Uniqlo Green Jeans XS,389,61,41888.05,3.6,825,Summer,41.48
Shoes,Levi's Red Shoes XL,228,30,35764.97,4.3,880,Winter,16.98
Jeans,Prada Yellow Jeans L,92,0,6964.22,3,373,Spring,59.48
Shoes,Gucci Green Shoes XL,437,37,26334.8,4.5,265,Summer,93.36
Dresses,Levi's Red Dresses S,192,9,34061.79,4.3,35,Summer,16.75
Tops,Uniqlo Red Tops XL,263,42,46576.02,3.6,10,Autumn,30.11
Outerwear,Adidas Red Outerwear L,468,72,36187.78,4,376,Winter,79.68
Activewear,H&M Black Activewear XS,250,45,46092.08,4.7,1,Summer,40.42
Tops,Uniqlo Pink Tops S,59,1,8760.96,3.2,315,Autumn,13.59
Tops,Uniqlo Green Tops XS,180,7,14138.63,4.6,893,Autumn,26.63
Outerwear,Nike Blue Outerwear L,457,59,39968.51,3.5,402,Spring,44.08
Jeans,Uniqlo Grey Jeans XL,17,3,1880.42,4.3,260,Autumn,6.56
Tops,Uniqlo Pink Tops XL,177,34,17332.21,4.6,121,Winter,21.59
Accessories,H&M Yellow Accessories XL,421,28,52163.38,3.7,505,Winter,31.6
Jeans,Levi's White Jeans L,348,54,37049.13,3.4,278,Summer,43.44
Shoes,Prada Grey Shoes L,382,20,10722.11,3.5,771,Summer,35.87
Tops,Gucci Green Tops S,177,10,11339.36,3.9,184,Winter,15.61
Outerwear,H&M Green Outerwear L,422,83,50170.98,4.7,275,Summer,43.28
Outerwear,Zara Blue Outerwear S,118,1,11642.16,4.7,301,Winter,11.01
Jeans,Zara White Jeans M,310,8,10134.9,4.9,502,Summer,52.91
Accessories,Prada Red Accessories S,430,0,31745.51,3.6,913,Spring,56.05
Activewear,Adidas White Activewear M,397,59,20294.84,4.5,14,Spring,75.94
Activewear,Uniqlo Black Activewear L,14,1,2162.4,4.8,751,Spring,15.92
Shoes,Levi's Yellow Shoes XL,373,72,39081.97,3,391,Autumn,179.88
Tops,Nike Blue Tops M,80,8,2730.34,4.6,100,Summer,18.63
Outerwear,Nike Green Outerwear XS,365,68,39407.9,3.6,81,Spring,103.4
Outerwear,H&M Red Outerwear S,100,10,10782.97,5,224,Summer,24.26
Shoes,Adidas Red Shoes XL,487,58,80835.45,4,553,Spring,277.22
Tops,H&M Black Tops XL,401,39,34229.71,3.8,300,Winter,31.76
Outerwear,H&M Black Outerwear L,324,12,13281.07,3.2,560,Autumn,61.59
Shoes,Nike Pink Shoes S,233,27,2374.66,3.6,870,Winter,17.21
Jeans,H&M Pink Jeans S,439,67,33220.34,4.6,791,Spring,39.51
Tops,Levi's Grey Tops XL,300,20,17700.8,3.4,180,Summer,113.33
Activewear,Nike Blue Activewear S,188,26,16168.3,3.1,804,Summer,14.21
Jeans,Nike Green Jeans L,145,3,23205.47,4,307,Autumn,59.29
Outerwear,Zara Green Outerwear S,60,3,11884.5,3.1,112,Spring,3.9
Tops,H&M White Tops S,415,70,67717.64,4.5,820,Autumn,36.05
Shoes,Gucci Blue Shoes M,412,24,72106.24,4.2,975,Winter,54.61
Outerwear,Adidas Blue Outerwear XS,130,4,18788.45,4.9,234,Summer,20.61
Activewear,Nike Grey Activewear XL,261,14,13683.14,3.1,850,Spring,39.76
Outerwear,Gucci Green Outerwear M,203,35,31776.17,3.6,266,Summer,20.09
Jeans,Uniqlo Red Jeans L,445,2,21419.88,3,790,Spring,681.54
Jeans,Gucci Grey Jeans L,310,20,13010.63,3.2,903,Autumn,42.73
Accessories,Prada Black Accessories M,84,10,13550.33,4,955,Autumn,6.3
Activewear,H&M Grey Activewear XS,470,74,31202.63,4.2,184,Autumn,208.42
Tops,Gucci Yellow Tops M,288,37,45391.96,3.7,436,Spring,34.7
Activewear,Levi's Yellow Activewear M,493,20,27343.57,3.6,174,Spring,82.86
Outerwear,Prada Grey Outerwear M,295,19,5466.62,4.3,252,Spring,53.2
Shoes,Uniqlo Pink Shoes XS,138,25,19734.31,3.8,104,Winter,88.54
Shoes,Zara White Shoes XS,72,11,12338.53,3.8,563,Spring,8.19
Activewear,H&M White Activewear S,350,59,49544.04,4.4,751,Autumn,349.84
Activewear,Nike Pink Activewear XS,480,23,43736.51,4.7,853,Spring,42.9
Dresses,Adidas Grey Dresses XS,116,4,3023.98,5,294,Summer,23.07
Activewear,Uniqlo Yellow Activewear XS,415,26,12097.85,3.2,371,Autumn,50.64
Shoes,Levi's Yellow Shoes M,392,10,58624.67,4,814,Spring,44.35
Outerwear,Zara Red Outerwear L,144,27,19370.37,4.4,534,Autumn,41.52
Jeans,Zara White Jeans L,106,17,20257.73,3.2,204,Autumn,249.82
Accessories,Levi's Red Accessories S,119,4,11353.33,3.1,81,Summer,14.59
Dresses,Nike Green Dresses M,297,15,31989.84,3.1,581,Winter,179.14
Tops,Adidas White Tops S,58,10,3763.5,4.4,109,Summer,4.99
Activewear,Gucci Grey Activewear XS,230,11,11118.33,4.3,759,Summer,92.5
Outerwear,Nike Green Outerwear S,447,53,75675.66,3.1,186,Winter,129.94
Jeans,Uniqlo Red Jeans S,33,6,3374.44,3.6,234,Winter,3.67
Tops,Nike White Tops S,350,46,63083.12,3.5,911,Winter,37.7
Dresses,Levi's Pink Dresses L,159,28,20661.84,4.3,935,Summer,59.86
Outerwear,Uniqlo Black Outerwear M,73,10,1188.86,3.9,222,Summer,7.85
Activewear,Gucci Red Activewear L,499,1,61451.94,3.3,975,Summer,595.43
Activewear,Gucci White Activewear XS,125,13,6357.48,3.7,185,Spring,8.64
Tops,Gucci White Tops L,202,12,36371.64,3.8,790,Summer,127.56
Jeans,Nike Pink Jeans L,426,3,53138.27,4.7,494,Summer,77.09
Shoes,Zara Pink Shoes S,416,79,8509.48,3.9,267,Winter,371.27
Activewear,Levi's Pink Activewear XL,12,1,2197.37,3,803,Summer,0.68
Dresses,Zara Red Dresses L,400,33,10300.44,3.4,897,Spring,85.12
Accessories,Levi's Red Accessories XL,348,16,6224.82,4.6,230,Summer,495.84
Tops,Prada Pink Tops XL,327,36,25309.16,3.9,254,Spring,200.16
Outerwear,Prada Pink Outerwear XL,97,18,12883.08,4.2,999,Summer,14.73
Accessories,Zara Pink Accessories L,161,11,7493.23,4.3,434,Spring,13.81
Shoes,Adidas Pink Shoes S,160,7,17762.02,4.7,230,Winter,18.88
Tops,Adidas Green Tops XS,179,26,4629.5,4.7,852,Autumn,17.27
Accessories,H&M Yellow Accessories XL,255,3,18108.77,4.9,248,Summer,33.09
Activewear,Levi's Black Activewear M,50,5,2018.83,3.7,805,Spring,3.29
Accessories,Prada Red Accessories M,176,33,28979.4,3,850,Summer,12.22
Shoes,Gucci Yellow Shoes L,405,74,39582.91,4.4,718,Summer,33.62
Activewear,Adidas Yellow Activewear S,57,3,4164.67,3.3,791,Summer,5.82
Shoes,Gucci Blue Shoes XL,280,44,23135.42,3.2,670,Spring,104.6
Tops,Zara Yellow Tops S,228,40,43023.31,4.4,269,Winter,20.88
Accessories,Zara Green Accessories L,229,16,23189.25,4.1,611,Winter,40.34
Outerwear,Levi's White Outerwear S,326,6,52693.22,4,423,Spring,61.36
Shoes,Uniqlo White Shoes XS,269,13,19360.46,3.1,371,Winter,25.31
Tops,Prada Green Tops XL,123,19,7852.56,4.3,939,Winter,9.26
Activewear,Nike Blue Activewear M,185,5,11056.85,3.2,323,Autumn,37.07
Jeans,Uniqlo White Jeans XL,214,9,13262.19,4.3,866,Autumn,70.13
Shoes,H&M Red Shoes XS,102,19,15980.45,4.5,403,Summer,145.9
Shoes,Levi's Green Shoes M,380,28,18359.5,3.9,483,Spring,32.1
Shoes,H&M Blue Shoes S,174,13,27362.61,3.8,378,Autumn,59.8
Dresses,Nike Grey Dresses M,445,6,82698.55,4.7,533,Winter,1357.43
Outerwear,Nike White Outerwear XL,219,34,6763,5,498,Spring,36.08
Activewear,Uniqlo Yellow Activewear XL,67,11,3994.34,4.5,250,Autumn,10.62
Accessories,Zara Pink Accessories S,18,0,213.08,3.9,377,Spring,1.39
Accessories,Prada Yellow Accessories S,75,1,829.97,3.7,860,Summer,9.61
Dresses,Adidas Green Dresses XL,130,8,9019.78,3.5,546,Winter,15.12
Dresses,Gucci Grey Dresses S,464,1,51736.04,4,8,Winter,38.65
Dresses,Nike Pink Dresses XS,127,2,15806.4,3.6,571,Summer,195.65
Shoes,Levi's Yellow Shoes S,357,39,42054.31,4.5,439,Autumn,97.35
Accessories,Gucci Blue Accessories M,94,12,12744.62,3.8,815,Spring,14.75
Activewear,Adidas Green Activewear S,226,18,43854.73,4,311,Winter,75.09
Dresses,Levi's Green Dresses XL,422,26,19002.87,4,705,Winter,337.74
Outerwear,Gucci Yellow Outerwear L,357,56,11804.93,4.7,939,Summer,52.69
Jeans,H&M Pink Jeans S,462,17,76323.61,4.9,653,Autumn,131.75
Dresses,Gucci Pink Dresses XL,216,1,17609.07,4.3,300,Spring,31.15
Outerwear,H&M Pink Outerwear L,463,75,25775.08,4.9,747,Autumn,128.11
Outerwear,Zara Grey Outerwear S,400,45,34873.48,4.5,738,Autumn,34.53
Jeans,H&M Grey Jeans XL,341,66,30550.84,4.6,900,Winter,111.65
Tops,Prada Yellow Tops XS,323,13,24101.96,4.7,601,Autumn,38.5
Tops,Prada Blue Tops XS,75,11,6686.1,3.3,77,Spring,22.78
Jeans,Uniqlo Black Jeans S,289,24,56322.25,3.5,898,Winter,48.79
Shoes,H&M Pink Shoes XS,319,27,17185.32,3.4,731,Winter,45.94
Dresses,H&M Blue Dresses S,370,7,53813.05,3.6,708,Summer,44.49
Shoes,Gucci Blue Shoes XS,339,48,30311.19,4.4,841,Summer,56.65
Accessories,Adidas White Accessories XL,199,16,13647.03,3.8,163,Summer,27.21
Shoes,Gucci Yellow Shoes S,180,6,4763.06,3.2,728,Summer,19.96
Outerwear,Zara Grey Outerwear XL,376,28,32220.19,3.6,977,Spring,56.41
Shoes,Gucci White Shoes XL,60,11,5158.58,3.1,846,Spring,9.73
Accessories,Uniqlo Grey Accessories L,280,8,54734.09,5,716,Spring,27.81
Activewear,H&M Grey Activewear S,393,17,54204.02,3.7,698,Winter,167.41
Accessories,Gucci Green Accessories L,55,7,7886.27,3.1,879,Autumn,31.59
Tops,Levi's Blue Tops XS,494,49,60342.34,4.6,347,Autumn,88.01
Accessories,Levi's Black Accessories S,414,74,67371.18,3.1,590,Winter,49.91
Outerwear,Uniqlo Blue Outerwear XS,157,13,4445.18,4.5,636,Summer,27.96
Dresses,Adidas Grey Dresses XS,138,12,6541.87,3.6,174,Summer,34.23
Activewear,Levi's White Activewear XL,47,9,2495.87,4.4,432,Winter,3.84
Activewear,Prada Blue Activewear XS,214,19,29107.64,5,793,Winter,43.74
Accessories,Levi's Black Accessories L,407,58,15636.41,3.4,93,Autumn,47.24
Accessories,Adidas Black Accessories XL,20,3,3845.78,3.6,951,Summer,1.49
Outerwear,Nike Red Outerwear XL,200,6,13008.89,3.7,806,Autumn,230.8
Dresses,Uniqlo Blue Dresses XL,458,69,6478.15,5,889,Autumn,104.51
Accessories,Nike Green Accessories XS,377,66,65666.74,3.6,868,Autumn,23.32
Tops,Nike Grey Tops XL,87,6,1316.74,4,282,Autumn,7.3
Dresses,H&M Yellow Dresses S,384,64,53599.67,3.9,118,Spring,31.44
Shoes,H&M Red Shoes XL,128,13,19912.52,4.7,812,Summer,12.18
Outerwear,Gucci Yellow Outerwear L,107,18,13599.11,4.1,915,Autumn,22.79
Activewear,Uniqlo Green Activewear XL,382,12,69116.51,4.4,188,Spring,115.05
Accessories,Zara Yellow Accessories L,410,20,71892.35,4.7,937,Summer,39.18
Jeans,Gucci White Jeans XS,479,60,82798.69,4.7,105,Autumn,110.14
Jeans,Zara Yellow Jeans L,34,5,2756.42,4.9,280,Spring,16.74
Accessories,Levi's Pink Accessories S,22,3,398.6,4.7,541,Spring,3.2
Jeans,Levi's Pink Jeans XS,489,18,29151.59,3.3,57,Summer,32.26
Accessories,Uniqlo Pink Accessories L,385,18,32335.84,4.7,679,Spring,53.89
Jeans,H&M Yellow Jeans M,453,13,76128.73,4.9,128,Autumn,97.82
Tops,Adidas Black Tops L,494,18,59432.87,3.5,120,Summer,57.11
Shoes,Levi's Green Shoes S,123,22,12884.04,3.9,512,Summer,14.76
Accessories,H&M Pink Accessories M,232,44,26021.91,4,362,Spring,48.08
Outerwear,Prada Pink Outerwear L,121,13,20163.9,4.5,13,Autumn,30.76
Activewear,Levi's Green Activewear L,279,38,34462.06,3.3,372,Autumn,127.66
Tops,Gucci Pink Tops L,265,9,45081.33,3.6,502,Summer,34.34
Outerwear,Uniqlo Green Outerwear M,56,11,9165.08,3.7,725,Winter,4.69
Dresses,Nike Black Dresses XS,339,14,66687.11,3,193,Winter,340.91
Tops,Prada Blue Tops M,318,52,26841.7,4.5,935,Winter,30.68
Accessories,Zara White Accessories S,186,20,27511.26,4.6,176,Winter,69.8
Tops,Levi's White Tops L,240,6,25983.67,3.8,506,Winter,18.35
Shoes,Adidas White Shoes L,109,2,2512.01,3.3,495,Spring,92.19
Outerwear,Zara Red Outerwear L,138,11,22176.57,4.9,460,Spring,17.26
Tops,Adidas Pink Tops S,92,5,18234.47,4.4,20,Summer,31.93
Dresses,Adidas Red Dresses XS,229,34,26497.55,3.5,527,Summer,17.41
Dresses,Zara White Dresses M,92,6,9097.06,3.6,629,Winter,10.24
Shoes,Prada Blue Shoes L,248,46,23754.3,4.8,640,Summer,118.68
Dresses,Zara Blue Dresses XL,83,2,8139.8,3.8,178,Summer,18.9
Activewear,H&M Pink Activewear L,60,6,4156.8,4,261,Autumn,4.42
Jeans,Levi's White Jeans XS,150,29,26414.83,3.5,113,Autumn,9.78
Jeans,Nike Grey Jeans L,440,14,45711.01,3,58,Autumn,25.59
Outerwear,Gucci Red Outerwear XL,39,1,7129.92,4.2,930,Autumn,5.05
Shoes,H&M Green Shoes S,32,0,3288.69,4.9,462,Winter,6.61
Activewear,H&M Grey Activewear S,82,14,6253.96,3.1,946,Autumn,4.19
Accessories,Levi's Blue Accessories M,359,32,22210.9,4.3,195,Winter,185.5
Tops,Prada Black Tops XS,38,7,7413.16,3.4,811,Summer,2.66
Jeans,Nike Yellow Jeans L,389,70,11617.37,4.4,170,Spring,84.05
Activewear,Prada Red Activewear M,183,3,14002.45,4.8,379,Summer,18.2
Dresses,Levi's White Dresses S,289,36,21038.72,3.9,957,Winter,28.06
Activewear,Nike Blue Activewear XL,116,6,16900.86,4.5,947,Winter,15.88
Activewear,Zara Blue Activewear L,114,15,19096.62,4.2,710,Winter,15.67
Jeans,Nike Yellow Jeans XS,214,7,36002.8,3.4,156,Spring,17.74
Jeans,Nike Green Jeans L,335,17,46026.49,3.6,611,Summer,23.86
Jeans,Zara Pink Jeans XS,384,59,69310.12,4.6,931,Winter,40.72
Dresses,Uniqlo Yellow Dresses L,171,1,20915.82,4.7,97,Autumn,151.61
Shoes,Adidas Pink Shoes M,260,18,8933.41,3.9,175,Winter,26.35
Shoes,Uniqlo Blue Shoes M,218,3,8292.33,3.3,22,Summer,15.16
Accessories,Gucci White Accessories XL,373,71,45352.98,3.1,972,Summer,22.77
Outerwear,Adidas Yellow Outerwear XL,95,19,17917.09,4.8,945,Autumn,10.38
Tops,Zara White Tops XL,212,12,8700.39,4.7,7,Summer,175.37
Tops,Gucci Red Tops XS,434,8,20021.42,4.8,451,Winter,63.94
Jeans,Nike Green Jeans L,330,24,49661.46,4.5,571,Winter,143.89
Shoes,Gucci Green Shoes XL,303,48,18484.68,4.2,608,Summer,21.72
Outerwear,Prada Green Outerwear L,432,49,11724.61,3.3,138,Spring,87.89
Outerwear,Adidas Red Outerwear M,193,23,14644.93,4.6,52,Winter,23.94
Tops,Adidas Blue Tops XL,474,94,73923.59,4.1,208,Winter,32.15
Jeans,Gucci Green Jeans XL,243,36,44786.85,4.3,633,Winter,54.08
Dresses,Adidas White Dresses XL,149,1,22091.73,3.7,808,Summer,12.09
Shoes,Levi's Yellow Shoes XL,428,49,51600.21,3.1,49,Winter,75.95
Jeans,Nike Blue Jeans L,102,3,19080.71,3.6,532,Autumn,7.05
Tops,Levi's White Tops M,92,3,16549.03,3.5,660,Autumn,6.45
Shoes,Gucci Red Shoes XL,82,16,12648.34,4.8,263,Spring,38.12
Shoes,Levi's Grey Shoes S,230,22,34913.15,3.9,743,Autumn,48.96
Outerwear,Zara Red Outerwear XL,251,2,15717.72,3.6,325,Autumn,48.8
Outerwear,Gucci Blue Outerwear XS,416,52,67817.3,3.9,410,Winter,28.86
Accessories,Adidas Grey Accessories S,313,9,15418.65,4.5,997,Spring,49.82
Jeans,Levi's White Jeans XS,62,5,2111.92,4.1,242,Summer,201.47
Tops,Adidas Pink Tops L,128,20,7125.19,4.1,142,Spring,14.54
Outerwear,Gucci Yellow Outerwear M,321,24,12338.78,5,274,Summer,36.11
Outerwear,Zara White Outerwear L,306,7,5332.07,4.7,595,Winter,45.69
Accessories,Adidas Red Accessories XL,289,39,42495.78,3.6,724,Autumn,31.59
Dresses,Uniqlo Pink Dresses XL,301,59,7069.94,4.2,279,Autumn,22.37
Jeans,Uniqlo Yellow Jeans S,34,4,3161.73,4.8,824,Spring,12.04
Jeans,Gucci Yellow Jeans S,490,78,7796.01,3.3,696,Summer,52.82
Accessories,Gucci Green Accessories XL,119,14,21403.45,4.7,480,Winter,10.21
Dresses,H&M Black Dresses XL,296,46,31492.88,3.1,265,Spring,36.63
Activewear,Prada Red Activewear L,436,1,36661.25,3.9,137,Spring,38.22
Accessories,Nike Pink Accessories S,349,49,39198.13,3.5,389,Summer,22.53
Tops,Prada Yellow Tops XL,199,18,37165.65,4.2,690,Autumn,26.99
Activewear,Prada Red Activewear M,91,18,15176.21,3.1,163,Winter,5.24
Outerwear,Gucci Green Outerwear S,58,1,8077.2,4.7,943,Summer,17.72
